Category,Style,ibu_low,ibu_high,ibu_mid,ibu_delta,srm_low,srm_high,srm_mid,srm_delta,original_gravity_low,original_gravity_high,final_gravity_low,final_gravity_high,final_gravity_mid,final_gravity_delta,abv_low,abv_high,abv_mid,abv_delta,Notes,Yeast,Aroma/Flavor,Appearance,Mouthfeel,Example
Standard American Beer,American Light Lager,8,12,10,2,2,3,2.5,0.5,1.028,1.04,0.998,1.008,1.003,0.005,2.8,4.2,3.5,0.7,high adjunct,lager,"mild, low malt, light hop","pale, clear, low head","light, high carbonation",bud light
Standard American Beer,American Lager,8,18,13,5,2,3.5,2.75,0.75,1.04,1.05,1.004,1.01,1.007,0.003,4.2,5.3,4.75,0.55,high adjunct,lager,"mild, low malt, light hop","pale, clear, low head","light, high carbonation",budweiser
Standard American Beer,Cream Ale,8,20,14,6,2,5,3.5,1.5,1.042,1.055,1.006,1.012,1.009,0.003,4.5,5.6,5.05,0.55,,any,"low malt, DMS, hop, esters optional","clear, fair head retention","light, high carbonation",
Standard American Beer,American Wheat Beer,15,30,22.5,7.5,3,6,4.5,1.5,1.04,1.055,1.008,1.013,1.0105,0.0025,4,5.5,4.75,0.75,,any,"low bready, med sweet, med esters, no banana","heavy head, maybe hazy","med, high carbonation",boulevard wheat beer
Internation Lager,International Pale Lager,18,25,21.5,3.5,2,6,4,2,1.042,1.05,1.008,1.012,1.01,0.002,4.5,6,5.25,0.75,,lager,"medlow malt, med bitter","pale, breif head","med, high carbonation",corona
Internation Lager,International Amber Lager,8,25,16.5,8.5,6,14,10,4,1.042,1.055,1.008,1.014,1.011,0.003,4.5,6,5.25,0.75,caramel malt,lager,"med malt, med caramel",breif head,"med body, med carbonation",Dos Equis Amber
Internation Lager,International Dark Lager,8,20,14,6,14,30,22,8,1.044,1.056,1.008,1.012,1.01,0.002,4.2,6,5.1,0.9,"adjunct, roasted malt",lager,med caramel malt,"amber to dark, breif head","light body, med carbonation",
Czech Lager,Czech Pale Lager,20,35,27.5,7.5,3,6,4.5,1.5,1.028,1.044,1.008,1.014,1.011,0.003,3,4.1,3.55,0.55,low ion water,lager,"med bread, hoppy, bitter, light diacetyl or ester, no sulfur","clear, long head",med body med carb,
Czech Lager,Czech Premium Pale Lager,30,45,37.5,7.5,3.5,6,4.75,1.25,1.044,1.06,1.013,1.017,1.015,0.002,4.2,5.8,5,0.8,"czech hops, low ion",lager,"med bread, bitter, caramel","clear, long head","med, low carb",
Czech Lager,Czech Amber Lager,20,35,27.5,7.5,10,16,13,3,1.044,1.06,1.013,1.017,1.015,0.002,4.4,5.8,5.1,0.7,"caramel malt, czech hop",czech lager yeast,"graham cracker, malt, bread, maillard, hop, low ester","amber to coppr, clear, large long head","med, creamy, low carb",
Czech Lager,Czech Dark Lager,18,34,26,8,17,35,26,9,1.044,1.06,1.013,1.017,1.015,0.002,4.4,5.8,5.1,0.7,"low ion water, czech hops",czech lager yeast,"high malt, med sweet, caramel, med hop, med bitter, low diacetyl or esters","clear, large long head","med body, creamy, low carb, warm",
Pale Malty Euro Lager,Munich Helles,16,22,19,3,3,5,4,1,1.044,1.048,1.006,1.012,1.009,0.003,4.7,5.4,5.05,0.35,,,"med malt, med caramel",,,
Pale Malty Euro Lager,Festbier,18,25,21.5,3.5,4,6,5,1,1.054,1.057,1.01,1.012,1.011,0.001,5.8,6.3,6.05,0.25,,,,,,
Pale Malty Euro Lager,Helles Bock,23,35,29,6,6,9,7.5,1.5,1.064,1.072,1.011,1.018,1.0145,0.0035,6.3,7.4,6.85,0.55,,,,,,
Pale Biiter European Beer,German Leichtbier,15,28,21.5,6.5,1.5,4,2.75,1.25,1.026,1.034,1.006,1.01,1.008,0.002,2.4,3.6,3,0.6,,,,,,
Pale Biiter European Beer,Kolsch,18,30,24,6,3.5,5,4.25,0.75,1.044,1.05,1.007,1.011,1.009,0.002,4.4,5.2,4.8,0.4,,,,,,
Pale Biiter European Beer,German Helles Exportbier,20,30,25,5,4,6,5,1,1.05,1.058,1.008,1.015,1.0115,0.0035,5,6,5.5,0.5,,,,,,
Pale Biiter European Beer,Pils,22,40,31,9,2,4,3,1,1.044,1.05,1.008,1.013,1.0105,0.0025,4.4,5.2,4.8,0.4,,,,,,
Amber Malty European Lagers,Marzen,18,24,21,3,8,17,12.5,4.5,1.054,1.06,1.01,1.014,1.012,0.002,5.6,6.3,5.95,0.35,,,,,,
Amber Malty European Lagers,Rauchbier,20,30,25,5,12,22,17,5,1.05,1.057,1.012,1.016,1.014,0.002,4.8,6,5.4,0.6,,,,,,
Amber Malty European Lagers,Dunkles Bock,20,27,23.5,3.5,14,22,18,4,1.064,1.072,1.013,1.019,1.016,0.003,6.3,7.2,6.75,0.45,,,,,,
